,content,label
19,"I've thought about this and think it's possible. We should get another
lunch. I have a car now and could come pick you up this time. Does
this wednesday work? 11:50?

Can I have a signed copy of you book?",0
20,"we saw this on the way to the coast...thought u might like it

hangzhou is huge, one day wasn't enough, but we got a glimpse...

we went inside the china pavilion at expo, it is pretty interesting,
each province has an exhibit...",0
21,"Hi Hommies,

Just got a phone call from the roofer, they will come and spaying the foaming today. it will be dusty. pls close all the doors and windows.
Could you help me to close my bathroom window, cat window and the sliding door behind the TV?
I don't know how can those 2 cats survive......

Sorry for any inconvenience!",0
22,"
SciFinance now automatically generates GPU-enabled pricing & risk model source code that runs up to 50-300x faster than serial code using a new NVIDIA Fermi-class Tesla 20-Series GPU.

SciFinance?is a derivatives pricing and risk model development tool that automatically generates C/C++ and GPU-enabled source code from concise, high-level model specifications. No parallel computing or CUDA programming expertise is required.

SciFinance's automatic, GPU-enabled Monte Carlo pricing model source code generation capabilities have been significantly extended in the latest release. This includes:

",0
23,Ok I will be there by 10:00 at the latest.,0
24,"That is cold.  Is there going to be a retirement party?  
Are the leaves changing color?",0
25,"--- Codeine 15mg -- 30 for $203.70 -- VISA Only!!! --

-- Codeine (Methylmorphine) is a narcotic (opioid) pain reliever
-- We have 15mg & 30mg pills -- 30/15mg for $203.70 - 60/15mg for $385.80 - 90/15mg for $562.50 -- VISA Only!!! ---",1
26,"Hydrocodone/Vicodin ES/Brand Watson

Vicodin ES - 7.5/750 mg: 30 - $195 / 120 $570
Brand Watson - 7.5/750 mg: 30 - $195 / 120 $570
Brand Watson - 10/325 mg: 30 - $199 / 120 - $588
NoPrescription Required
FREE Express FedEx (3-5 days Delivery) for over $200 order
Major Credit Cards + E-CHECK",1
27,"You Have Everything To Gain!

Incredib1e gains in length of 3-4 inches to yourPenis, PERMANANTLY

Amazing increase in thickness of yourPenis, up to 30%
BetterEjacu1ation control
Experience Rock-HardErecetions
Explosive, intenseOrgasns
Increase volume ofEjacu1ate
Doctor designed and endorsed
100% herbal, 100% Natural, 100% Safe
The proven NaturalPenisEnhancement that works!
100% MoneyBack Guaranteeed",1
28,"Percocet 10/625 mg withoutPrescription 30 tabs - $225!
Percocet, a narcotic analgesic, is used to treat moderate to moderately SeverePain
Top Quality, EXPRESS Shipping, 100% Safe & Discreet & Private.
Buy Cheap Percocet Online",1
29,"--- Codeine 15mg -- 30 for $203.70 -- VISA Only!!! --

-- Codeine (Methylmorphine) is a narcotic (opioid) pain reliever
-- We have 15mg & 30mg pills -- 30/15mg for $203.70 - 60/15mg for $385.80 - 90/15mg for $562.50 -- VISA Only!!! ---",1
30,"OEM Adobe & Microsoft softwares
Fast order and download

Microsoft Office Professional Plus 2007/2010 $129
Microsoft Windows 7 Ultimate $119
Adobe Photoshop CS5 Extended
Adobe Acrobat 9 Pro Extended
Windows XP Professional & thousand more titles",1
31,"Bargains Here! Buy Phentermin 37.5 mg (K-25)

Buy Genuine Phentermin at Low Cost
VISA Accepted
30 - $130.50
60 - $219.00
90 - $292.50
120 - $366.00
180 - $513.00",1
32,"You Have Everything To Gain!

Incredib1e gains in length of 3-4 inches to yourPenis, PERMANANTLY

Amazing increase in thickness of yourPenis, up to 30%
BetterEjacu1ation control
Experience Rock-HardErecetions
Explosive, intenseOrgasns
Increase volume ofEjacu1ate
Doctor designed and endorsed
100% herbal, 100% Natural, 100% Safe",1
33,"Bargains Here! Buy Phentermin 37.5 mg (K-25)

Buy Genuine Phentermin at Low Cost
VISA Accepted
30 - $130.50
60 - $219.00
90 - $292.50
120 - $366.00
180 - $513.00",1
34,"OrderCializViagra Online & Save 75-90%

0nline Pharmacy NoPrescription required
Buy Canadian Drugs at Wholesale Prices and Save 75-90%
FDA-Approved drugs + Superb Quality Drugs only!
Accept all major credit cards",1
35,"You Have Everything To Gain!

Incredib1e gains in length of 3-4 inches to yourPenis, PERMANANTLY

Amazing increase in thickness of yourPenis, up to 30%
BetterEjacu1ation control
Experience Rock-HardErecetions
Explosive, intenseOrgasns
Increase volume ofEjacu1ate
Doctor designed and endorsed
100% herbal, 100% Natural, 100% Safe
The proven NaturalPenisEnhancement that works!
100% MoneyBack Guaranteeed",1
36,"Buy Ambiem (Zolpidem) 5mg/10mg @ $2.39/- pill

30 pills x 5 mg - $129.00
60 pills x 5 mg - $199.20
180 pills x 5 mg - $430.20
30 pills x 10 mg - $ 138.00
120 pills x 10 mg - $ 322.80",1
37,"OrderCializViagra Online & Save 75-90%

0nline Pharmacy NoPrescription required
Buy Canadian Drugs at Wholesale Prices and Save 75-90%
FDA-Approved drugs + Superb Quality Drugs only!
Accept all major credit cards
        Order Today! From $1.38
",1
38,"BuyVIAGRA 25mg, 50mg, 100mg,
BrandViagra, FemaleViagra from $1.15 per pill


ViagraNoPrescription needed - from Certified Canadian Pharmacy

Buy Here... We accept VISA, AMEX, E-Check... Worldwide Delivery",1
39,"You Have Everything To Gain!

Incredib1e gains in length of 3-4 inches to yourPenis, PERMANANTLY

Amazing increase in thickness of yourPenis, up to 30%
BetterEjacu1ation control
Experience Rock-HardErecetions
Explosive, intenseOrgasns
Increase volume ofEjacu1ate
Doctor designed and endorsed
100% herbal, 100% Natural, 100% Safe",1
40,"You Have Everything To Gain!

Incredib1e gains in length of 3-4 inches to yourPenis, PERMANANTLY

Amazing increase in thickness of yourPenis, up to 30%
BetterEjacu1ation control
Experience Rock-HardErecetions
Explosive, intenseOrgasns
Increase volume ofEjacu1ate
Doctor designed and endorsed
100% herbal, 100% Natural, 100% Safe",1
41,"A home based business opportunity is knocking at your door.

DonæŠ?be rude and let this chance go by.

You can earn a great income and find
your financial life transformed.

Learn more Here.



To Your Success.

Work From Home Finder Experts",1
42,"Codeine (the most competitive price on NET!)

Codeine (WILSON) 30mg x 30 $156.00
Codeine (WILSON) 30mg x 60 $291.00 (+4 FreeViagra pills)
Codeine (WILSON) 30mg x 90 $396.00 (+4 FreeViagra pills)
Codeine (WILSON) 30mg x 120 $492.00 (+10 FreeViagra pills)",1
43,"Get Up to 75% OFF at Online WatchesStore

Discount Watches for All Famous Brands

* Watches: aRolexBvlgari, Dior, Hermes, Oris, Cartier, AP and more brands
* Louis Vuitton Bags & Wallets
* Gucci Bags
* Tiffany & Co Jewerly

Enjoy a full 1 year WARRANTY
Shipment via reputable courier: FEDEX, UPS, DHL and EMS Speedpost
You will 100% recieve your order
Save Up to 75% OFF Quality Watches",1
44,"Get Up to 75% OFF at Online WatchesStore

Discount Watches for All Famous Brands

* Watches: aRolexBvlgari, Dior, Hermes, Oris, Cartier, AP and more brands
* Louis Vuitton Bags & Wallets
* Gucci Bags
* Tiffany & Co Jewerly

Enjoy a full 1 year WARRANTY
Shipment via reputable courier: FEDEX, UPS, DHL and EMS Speedpost
You will 100% recieve your order",1
45,"Percocet 10/625 mg withoutPrescription 30 tabs - $225!
Percocet, a narcotic analgesic, is used to treat moderate to moderately SeverePain
Top Quality, EXPRESS Shipping, 100% Safe & Discreet & Private.
Buy Cheap Percocet Online",1
46,"Get Up to 75% OFF at Online WatchesStore

Discount Watches for All Famous Brands

* Watches: aRolexBvlgari, Dior, Hermes, Oris, Cartier, AP and more brands
* Louis Vuitton Bags & Wallets
* Gucci Bags
* Tiffany & Co Jewerly

Enjoy a full 1 year WARRANTY
Shipment via reputable courier: FEDEX, UPS, DHL and EMS Speedpost
You will 100% recieve your order",1
47,"You Have Everything To Gain!

Incredib1e gains in length of 3-4 inches to yourPenis, PERMANANTLY

Amazing increase in thickness of yourPenis, up to 30%
BetterEjacu1ation control
Experience Rock-HardErecetions
Explosive, intenseOrgasns
Increase volume ofEjacu1ate
Doctor designed and endorsed
100% herbal, 100% Natural, 100% Safe",1
48,"You Have Everything To Gain!

Incredib1e gains in length of 3-4 inches to yourPenis, PERMANANTLY

Amazing increase in thickness of yourPenis, up to 30%
BetterEjacu1ation control
Experience Rock-HardErecetions
Explosive, intenseOrgasns
Increase volume ofEjacu1ate
Doctor designed and endorsed
100% herbal, 100% Natural, 100% Safe",1
49,"Experience with BiggerPenis Today! Grow 3-inches more

The Safest & Most Effective Methods Of_PenisEn1argement.
Save your time and money!
BetterErections with effective Ma1eEnhancement products.

#1 Ma1eEnhancement Supplement. Trusted by Millions. Buy Today!",1
